,patient_score,patient_online,educate,articleCount,spaceRepliedCount,totaldiagnosis,openSpaceTime,hot_num,hospitalName,keshi,good_at,introduction,doctor_title,doctor_id,doctorName,disease
0,229,3921,,261篇,3921位,3716位,2016-12-21 14:53,4.1,苍南县人民医院,心血管内科,擅长诊治高血压、高血压危象、急性心力衰竭丶慢性心力衰竭、冠心病心绞痛、急性冠脉综合症、急性心肌梗死、血脂异常、各种心律失常（如室上速、快速房扑及房颤、室速、室颤等）、瓣膜心脏病、心肌炎、心肌病、糖尿病、代谢综合征、脑梗塞等常见心脑血管病以及心脏急危重症救治。,主任医师心血管内科硕士研究生学历、临床医学硕士学位。温州医科大学住院医师规范化培训基地联合体委员会委员、规培基地培训导师，浙江省住院医师规范化培训教师，温州医科大学优秀带教老师！本人曾先后从事大内科、心血管内科专业临床诊疗工作36年余，且曾先后在上海铁道大学医学院和同济医科大学附属襄樊医院各进修一年，2005年至2007年在哈尔滨医科大学第一附属医院心内科研习2年余，积累了较丰富的临床经验。,主任医师,4917442412,胡安义,gaoxueya
0,275,10018,,268篇,10018位,5170位,2017-01-17 15:17,4.2,上海市第六人民医院,心内科,冠心病、心律失常、高血压、高脂血症、心肌病、心力衰竭等心脏血管疾病,李永光，医学博士，主治医师，博士研究生毕业于上海交通大学医学院。临床主要从事冠心病、心律失常、高血压、高脂血症等心血管疾病的诊治。目前已获得GCP培训合格证，参与大型国际心脏交流会议多次，入围“牛顿基金(上海)培育计划信息库”成员。 上海医学会行为医学分会青年委员 中国全科医学杂志青年编委 国家奖学金1次 上海交通大学优秀毕业生称号 中共上海六院委员会评为“优秀共产党员” 目前以第一作者发表/接收SCI及核心20余篇。 负责院级课题1项，校局级课题3项，主持国自然课题1项，参与国家青年自然科学基金及面上项目多项。 专利1项。 参加国际多中心临床实验研究4项。,主治医师,4968443388,李永光,gaoxueya
0,602,6065,副教授,10篇,6065位,5437位,2015-09-07 15:45,4.7,西京医院,心脏内科,心神经官能症、心血管心理、心力衰竭、冠心病、高血压,司瑞，男，副主任医师、讲师，专业技术8级。美国哈佛大学联合培养博士，美国亚利桑那大学博士后。专长：心神经官能症、冠心病、高血压和心衰患者的诊断和治疗。 美国心脏病协会心肺复苏高级培训导师 西安医学会心血管分会会员 陕西保健学会双心学组副组长 《心脏杂志》审稿专家 WoltersKluwer翻译专家 获得国家自然科学基金2项 国家实用新型专利3项 发表SCI文章15篇，第一作者3篇，参编专著5部,副主任医师,3378029432,司瑞,gaoxueya
0,237,17027,讲师,66篇,17027位,4152位,2014-12-10 16:27,4.2,江苏省人民医院江苏省妇幼保健院,心血管内科心血管内科,长期从事高血压、冠心病、心肌病、心衰及各种心律失常诊治，在相应领域积累了丰富经验，同时擅长孕期及围产期心血管疾病治疗.,现就职于江苏省人民医院心脏科，长期从事高血压、冠心病、心肌病、心衰及各种心律失常诊治，亦擅长孕期及围产期心血管疾病治疗。 我们病区由国内知名心衰专家、黄峻教授定期查房，指导治疗，在心衰治疗领域积累了丰富的诊治经验。,副主任医师,1422147710,唐春平,gaoxueya
0,191,4012,副教授,74篇,4012位,1217位,2013-11-11 16:38,4.0,中山大学附属第一医院冷秀玉医生个人工作室（广州市 越秀区）,心血管内科心血管内科,高血压、冠心病、心衰、心律失常、瓣膜病、心肌病的诊治。擅长①心血管疾病的药物治疗，包括高血压、冠心病、心力衰竭、高血脂、瓣膜病、心肌病、代谢综合征等的药物治疗。②心血管疾病患者及心脏手术后患者的综合康复指导，包括生活方式指导、心脏功能康复和心理健康恢复、循证规范化用药、生活质量评估及职业康复。③冠心病二级预防（预防复发），高血压患者依据危险分层进行的药物、营养、运动、睡眠及心理方面的立体式管理。心血管疾病易患因素人群的一级预防（预防发病）④体外反搏。,中山大学附属第一医院心血管康复科副主任 副主任医师，硕士生导师 中山大学医学院八年制长学制全程导师 医学博士、美国德州大学西南医学中心博士后 中国生物医学工程学会体外反搏分会常委兼秘书长 中国康复医学会心血管病专业委员会青年委员 中华医学会心血管病学分会委员会心脏康复学组成员,副主任医师,248331,冷秀玉,gaoxueya
0,765,7688,讲师,509篇,7688位,5432位,2019-01-30 17:54,4.6,中国医科大学附属盛京医院,心血管内科,起搏器治疗。高血压，高血脂，急慢性心衰，冠心病，心律失常，心肌病等内科常见疾病的诊治,主治医师，讲师，硕士学位，毕业于中国医科大学七年制，后于中国医科大学附属盛京医院内科工作至今，201920202021连续三年青年好大夫。 熟练掌握心内科常见疾病及急重症的诊断及治疗，具有丰富的临床经验，责任心强，工作认真负责。并负责患者健康教育、临床药理实验等相关工作。,主治医师,4212742585,董玲玲,gaoxueya
0,517,6570,,83篇,6570位,5107位,2012-12-19 18:24,4.7,秦皇岛市第一医院,心血管内科,冠心病、心力衰竭、高血压、心肌梗死的规范化诊治和康复。不明原因胸闷心悸等双心疾病治疗。,张晶，医学博士，主任医师，硕士生导师，秦皇岛市第一医院心内一科副主任，从事心脏病重症监护工作多年。 2016年于意大利圣斯蒂法诺新医院进修学习。 作为心内科的医生，我们处在心血管病治疗的最终端，到这里的患者都是极为危重的。我衷心希望，患者能提高对高血压、高血脂、糖尿病、心绞痛的重视程度，规范化治疗，不致进展到心肌梗死、心力衰竭的程度。 心力衰竭是心血管病的最后战场，但绝非无药可医。 中华医学会心身医学分会整体健康学组委员 河北省心血管病学会青年委员 河北省医学会心身医学分会委员 河北省医师协会胸痛联盟委员 河北省卒中学会心血管病学分会常委 河北省双心专业委员会常委 河北省心脏重症学会委员 河北省血管健康协会心血管介入学组委员 河北省三三三人才第三层次 秦皇岛市心血管病学会委员 秦皇岛市预防医学会理事 秦皇岛市青联常务委员,主任医师,875254148,张晶,gaoxueya
0,441,8063,副教授,27篇,8063位,4609位,2011-08-05 14:07,4.7,天津医科大学总医院,心血管内科,擅长疑难心血管疾病的诊断和治疗，尤其是冠心病及冠脉介入治疗、心律失常及术前和术后管理、高血压、心力衰竭及高脂血症的调脂治疗等。,高玉霞，女，医学博士，主任医师，博士研究生导师，主要从事心血管内科的临床医疗、教学和科研工作。擅长疑难心血管疾病的诊断和治疗，尤其是冠心病及冠脉介入治疗、心律失常及术前和术后管理、高血压、心力衰竭及高脂血症的调脂治疗等。 天津市健康管理协会中老年专业委员会副主任委员 天津医师协会心力衰竭专业委员会常务委员 天津心脏学会女性健康专业委员会常委兼秘书长 天津医药学协会心血管专业委员会委员 天津医科大学总医院国家药物临床试验机构委员 曾获天津医科大学科技成果二等奖1项 主持并完成国家自然科学基金项目1项。 作为主要作者参加天津市科委和教委科研课题多项。 发表学术论文40余篇，其中以第一作者或通讯作者发表被SCI收录论文8篇。,主任医师,61421,高玉霞,gaoxueya
0,227,2450,副教授,1篇,2450位,2359位,2018-11-03 17:50,5.0,宜昌市中心人民医院宜昌市中心人民医院,急诊科心血管专科,心血管内科、急诊常见多发病及急危重症的诊治,李莉，女，博士，主任医师，副教授，硕士研究生导师，湖北省宜昌市中心人民医院急诊内科病区主任，内科住培基地教学主任，留学生教学办公室主任。2004年进修于北京阜外医院，2016年进修于北京协和医院，2017年进修于北京307医院，2017年研修于美国加州大学洛杉矶分校（UCLA）。从事心血管疾病临床、科研和教学工作近20年，擅长各种心血管急危重症的诊治，尤其在冠心病、高血压、心肌病、心力衰竭等疾病的药物治疗方面有较丰富的临床经验。 湖北省微循环学会老年病专业委员会常务委员 实用医学杂志的审稿专家 第八届宜昌市点军区政协委员 主持或参与完成多项国家级、省、市、校级课题并获奖。 公开发表论文四十余篇，拥有国家发明专利2项，拥有实用新型专利12项，主编专著2本，参编书籍4本。,主任医师,6964356929,李莉,gaoxueya
0,305,4022,副教授,11篇,4022位,2687位,2016-04-29 11:06,4.6,哈尔滨医科大学附属第二医院,心血管内科,冠心病介入治疗（冠脉造影，PCI），高血压病、心肌病、心力衰竭、先天性心脏病、瓣膜病等心内科疾病诊断、治疗,聂宏刚，主任医师，医学博士，博士后，哈尔滨医科大学附属第二医院心血管内科冠脉组主要成员。 中国冠心病介入培训导师 中国康复医学会心血管分会青年委员 国家卫生计生委人才交流服务中心全国卫生人才评价专家 黑龙江省医学会心内科学组成员 黑龙江省医学会心衰分会常委 黑龙江省医促会高血压病分会委员,主任医师,150551,聂宏刚,gaoxueya
